iter	Accuracy	Logloss
150	0.8114754098	0.6920571059
151	0.8113316077	0.6920503001
152	0.8111878056	0.6920429464
153	0.8110440035	0.6920358127
154	0.8111878056	0.6920284212
155	0.8109002013	0.6920209678
156	0.8111878056	0.6920125765
157	0.8109002013	0.6920035375
158	0.8110440035	0.691996731
159	0.8113316077	0.6919904066
160	0.8113316077	0.6919830344
161	0.8111878056	0.6919766281
162	0.8111878056	0.6919697262
163	0.8114754098	0.6919618886
164	0.8114754098	0.6919551334
165	0.811619212	0.6919478191
166	0.811619212	0.6919406628
167	0.8114754098	0.6919337153
168	0.8117630141	0.6919255548
169	0.8119068162	0.6919184642
170	0.811619212	0.6919105786
171	0.8113316077	0.6919032404
172	0.8113316077	0.6918945099
173	0.8114754098	0.6918875693
174	0.8117630141	0.6918810254
175	0.8117630141	0.6918739323
176	0.8119068162	0.6918672352
177	0.8119068162	0.6918597196
178	0.8119068162	0.6918541788
179	0.8120506183	0.6918472032
180	0.8117630141	0.6918389258
181	0.8120506183	0.691832521
182	0.8117630141	0.6918268667
183	0.8121944205	0.6918184201
184	0.8119068162	0.6918114448
185	0.8114754098	0.69180389
186	0.8114754098	0.6917954423
187	0.8113316077	0.6917872895
188	0.811619212	0.6917800239
189	0.8114754098	0.6917719064
190	0.8114754098	0.6917639583
191	0.811619212	0.6917560548
192	0.811619212	0.6917495191
193	0.811619212	0.691740982
194	0.8113316077	0.6917325332
195	0.811619212	0.6917265771
196	0.8121944205	0.6917181994
197	0.8117630141	0.6917109725
198	0.8120506183	0.6917034446
199	0.8114754098	0.6916984653
200	0.8113316077	0.6916908384
201	0.8113316077	0.6916868365
202	0.8111878056	0.6916794596
203	0.8114754098	0.6916713114
204	0.8114754098	0.6916644589
205	0.8114754098	0.6916559163
206	0.8117630141	0.6916481052
207	0.8119068162	0.6916409594
208	0.8120506183	0.6916334092
209	0.8121944205	0.6916270741
210	0.8120506183	0.6916191996
211	0.8120506183	0.6916113037
212	0.811619212	0.6916040974
213	0.8117630141	0.6915962169
214	0.8117630141	0.6915876948
215	0.8119068162	0.6915803374
216	0.8120506183	0.6915734377
217	0.8121944205	0.6915661025
218	0.8119068162	0.6915588723
219	0.811619212	0.6915503
220	0.8117630141	0.6915437661
221	0.8121944205	0.6915360128
222	0.8121944205	0.691529464
223	0.8121944205	0.6915224276
224	0.8123382226	0.6915151275
225	0.8121944205	0.6915072393
226	0.8123382226	0.6914990556
227	0.812769629	0.6914920792
228	0.8124820247	0.691484712
229	0.8123382226	0.6914776626
230	0.8123382226	0.691470946
231	0.8126258269	0.6914631511
232	0.8126258269	0.6914559265
